crash_date,crash_time,borough,zip_code,latitude,longitude,location,on_street_name,off_street_name,cross_street_name,number_of_persons_injured,number_of_persons_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,contributing_factor_vehicle_1,contributing_factor_vehicle_2,collision_id,vehicle_type_code1,vehicle_type_code2,day_of_week,month,is_weekend,year
2022-04-24,17,BRONX,10466.0,40.89481,-73.86183,"
,  
(40.89481, -73.86183)",BRONX RIVER PARKWAY,EAST 233 STREET,Unknown,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,4521633,Sedan,Unknown,Sunday,April,1,2022
2022-04-24,9,BROOKLYN,11207.0,40.85169,-73.95238,"
,  
(40.85169, -73.95238)",CROSS BRONX EXPY,Unknown,Unknown,0,0,0,0,0,0,0,0,Unspecified,Unspecified,4521937,Sedan,Unknown,Sunday,April,1,2022
2022-04-24,0,BRONX,10453.0,40.861862,-73.91275,"
,  
(40.861862, -73.91275)",MAJOR DEEGAN EXPRESSWAY,WEST FORDHAM ROAD,Unknown,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,4521801,Sedan,Unknown,Sunday,April,1,2022
2022-03-08,20,BROOKLYN,11207.0,40.666256,-73.900215,"
,  
(40.666256, -73.900215)",Unknown,Unknown,360       SNEDIKER AVENUE,0,0,0,0,0,0,0,0,Unspecified,Unspecified,4522285,Sedan,Unknown,Tuesday,March,0,2022
2022-04-24,15,MANHATTAN,10019.0,40.767242,-73.986206,"
,  
(40.767242, -73.986206)",WEST 56 STREET,9 AVENUE,Unknown,1,0,0,0,1,0,0,0,View Obstructed/Limited,Unspecified,4521853,Station Wagon/Sport Utility Vehicle,Bike,Sunday,April,1,2022
2022-04-22,12,BROOKLYN,11230.0,40.62417,-73.97048,"
,  
(40.62417, -73.97048)",AVENUE J,OCEAN PARKWAY,Unknown,1,0,0,0,0,0,1,0,Unspecified,Unspecified,4522228,Sedan,Pick-up Truck,Friday,April,0,2022
2022-04-24,13,BROOKLYN,11207.0,40.679955,-73.97491,"
,  
(40.679955, -73.97491)",SAINT MARKS AVENUE,6 AVENUE,Unknown,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,4521702,Station Wagon/Sport Utility Vehicle,Unknown,Sunday,April,1,2022
2022-04-24,4,BROOKLYN,11221.0,40.692356,-73.94282,"
,  
(40.692356, -73.94282)",THROOP AVENUE,DE KALB AVENUE,Unknown,1,0,0,0,0,0,1,0,Traffic Control Disregarded,Unspecified,4522167,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sunday,April,1,2022
2022-04-20,19,BROOKLYN,11207.0,40.78291,-73.98578,"
,  
(40.78291, -73.98578)",HENRY HUDSON PARKWAY,Unknown,Unknown,0,0,0,0,0,0,0,0,Driver Inexperience,Unspecified,4522196,Sedan,Station Wagon/Sport Utility Vehicle,Wednesday,April,0,2022
2022-04-24,16,BROOKLYN,11207.0,40.67308,-73.91124,"
,  
(40.67308, -73.91124)",ROCKAWAY AVENUE,Unknown,Unknown,0,0,0,0,0,0,0,0,Unspecified,Unspecified,4521758,Sedan,Sedan,Sunday,April,1,2022
